Model,Test Deviance,Log-Lik,Portfolio Avg
NegBin_NN,0.2668091770831632,-13633.084612584993,0.05410283693581639
NegBin_CANN,0.2675506827443259,-13658.222025251242,0.05315433188037653
ZI_Bell_CANN,0.2683869113343308,-13600.799821480749,0.05082025953360971
Bell_CANN,0.268925010080743,-13618.615568568675,0.05316141301907185
Bell_NN,0.2691469217669741,-13626.138485687754,0.05417917877548704
ZI_Bell_NN,0.2697042316720473,-13645.23825933388,0.052794690401209786
ZINB_CANN,0.2724423246284248,-13608.808705931173,0.05072175499437303
ZINB_NN,0.2726206734425981,-13608.333163436579,0.05262484174053041
ZIP_CANN,0.3015638720089682,-13591.91831704906,0.05115461900927141
Poisson_CANN,0.3020913448128925,-13634.018148110663,0.05315588749537198
ZIP_NN,0.3021285323301574,-13611.882282840555,0.0535654557627908
Poisson_NN,0.30279928818695606,-13658.017782463103,0.051326257126073055
